"ID","Description","n_studies","n_cell_types","n_percentages","weighted_meta_pvalue","weighted_meta_padj","weighted_mean_NES","weighted_mean_pvalue","weighted_mean_padj","weighted_enhanced_score","effect_consistency","min_NES","max_NES","nes_range","individual_NES","individual_pvalue","individual_padj","individual_percentages","individual_cell_types","individual_weights","database","meta_group","weighted_analysis","analysis_version","weighted_meta_padj_corrected","log2_fold_enrichment","mean_nes","meta_fdr","meta_pvalue","meta_score","n_methods","cell_type","effect","regulation_pattern_set_membership","confidence_tier"
"GO:0055074","calcium ion homeostasis",2,1,2,0.0437073364159546,0.112488516715677,2.01501611629063,0.00484214172741976,0.017715278957197,2.01501611629063,0.998692911196503,2.01294701613272,2.01667139641696,0.00372438028424193,"2.017;2.013","2.8e-03;7.4e-03","1.0e-02;2.7e-02","5pct;10pct","78_Sst_HPF;78_Sst_HPF","0.5;0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0475148720746948,2.01501611629063,2.01501611629063,0.112488516715677,0.0437073364159546,2.01501611629063,2,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0031099","regeneration",1,1,1,0.00771598163298135,0.0280973410122051,2.00829849299745,0.00771598163298135,0.0280973410122051,2.00829849299745,1,2.00829849299745,2.00829849299745,0,"2.008","7.7e-03","2.8e-02","10pct","78_Sst_HPF","0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0127324325018067,2.00829849299745,2.00829849299745,0.0280973410122051,0.00771598163298135,2.00829849299745,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0032869","cellular response to insulin stimulus",1,1,1,0.00695002685227067,0.0259921612346744,2.00644030633616,0.00695002685227067,0.0259921612346744,2.00644030633616,1,2.00644030633616,2.00644030633616,0,"2.006","7e-03","2.6e-02","10pct","78_Sst_HPF","0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0118944745271718,2.00644030633616,2.00644030633616,0.0259921612346744,0.00695002685227067,2.00644030633616,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0098685","Schaffer collateral - CA1 synapse",2,1,2,0.0431380860032352,0.0779397030595194,1.99434912895067,0.00456641919547886,0.0101148650366033,1.99434912895067,0.94548525204044,1.90929379738129,2.06239339420617,0.153099596824884,"2.062;1.909","3.0e-03;6.6e-03","6.7e-03;1.4e-02","5pct;10pct","78_Sst_HPF;78_Sst_HPF","0.5;0.4","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0470668734352238,1.99434912895067,1.99434912895067,0.0779397030595194,0.0431380860032352,1.99434912895067,2,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0007611","learning or memory",1,1,1,0.00611048158625095,0.0230078337278225,1.99416126031735,0.00611048158625095,0.0230078337278225,1.99416126031735,1,1.99416126031735,1.99416126031735,0,"1.994","6.1e-03","2.3e-02","10pct","78_Sst_HPF","0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0107652307946009,1.99416126031735,1.99416126031735,0.0230078337278225,0.00611048158625095,1.99416126031735,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0009746","response to hexose",1,1,1,0.00936914513254205,0.0329258528943621,1.99289805590537,0.00936914513254205,0.0329258528943621,1.99289805590537,1,1.99289805590537,1.99289805590537,0,"1.993","9.4e-03","3.3e-02","10pct","78_Sst_HPF","0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0142799038652426,1.99289805590537,1.99289805590537,0.0329258528943621,0.00936914513254205,1.99289805590537,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0009749","response to glucose",1,1,1,0.00936914513254205,0.0329258528943621,1.99289805590537,0.00936914513254205,0.0329258528943621,1.99289805590537,1,1.99289805590537,1.99289805590537,0,"1.993","9.4e-03","3.3e-02","10pct","78_Sst_HPF","0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0142799038652426,1.99289805590537,1.99289805590537,0.0329258528943621,0.00936914513254205,1.99289805590537,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0044295","axonal growth cone",1,1,1,0.00457184850730196,0.0262279730155744,1.99021249014703,0.00457184850730196,0.0262279730155744,1.99021249014703,1,1.99021249014703,1.99021249014703,0,"1.99","4.6e-03","2.6e-02","25pct","78_Sst_HPF","0.1","GO_CC","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.00908830654247196,1.99021249014703,1.99021249014703,0.0262279730155744,0.00457184850730196,1.99021249014703,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0060047","heart contraction",1,1,1,0.00811915866249617,0.0292765753725839,1.98375246765517,0.00811915866249617,0.0292765753725839,1.98375246765517,1,1.98375246765517,1.98375246765517,0,"1.984","8.1e-03","2.9e-02","10pct","78_Sst_HPF","0.4","GO_BP","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0132517058278888,1.98375246765517,1.98375246765517,0.0292765753725839,0.00811915866249617,1.98375246765517,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
"GO:0016773","phosphotransferase activity, alcohol group as acceptor",1,1,1,0.00361388459586906,0.0139055994232353,1.98322377118038,0.00361388459586906,0.0139055994232353,1.98322377118038,1,1.98322377118038,1.98322377118038,0,"1.983","3.6e-03","1.4e-02","10pct","78_Sst_HPF","0.4","GO_MF","78_Sst_HPF",TRUE,"v7_weighted_standalone",0.0077031382498065,1.98322377118038,1.98322377118038,0.0139055994232353,0.00361388459586906,1.98322377118038,1,"78_Sst_HPF","parity","Over-represented","Method-Specific"
