"ID","Description","n_studies","n_cell_types","n_percentages","weighted_meta_pvalue","weighted_meta_padj","weighted_mean_NES","weighted_mean_pvalue","weighted_mean_padj","weighted_enhanced_score","effect_consistency","min_NES","max_NES","nes_range","individual_NES","individual_pvalue","individual_padj","individual_percentages","individual_cell_types","individual_weights","database","meta_group","weighted_analysis","analysis_version","weighted_meta_padj_corrected","log2_fold_enrichment","mean_nes","meta_fdr","meta_pvalue","meta_score","n_methods","cell_type","effect","regulation_pattern_set_membership","confidence_tier"
"GO:0044283","small molecule biosynthetic process",2,1,2,0.0449620390702841,0.112598372075067,2.01490832559904,0.00452682857839157,0.0160030683960549,2.01490832559904,0.95569578728619,1.94501532093361,2.07082272933139,0.125807408397782,"2.071;1.945","3.8e-03;5.4e-03","1.3e-02;2.0e-02","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.0478909042914117,2.01490832559904,2.01490832559904,0.112598372075067,0.0449620390702841,2.01490832559904,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0099175","regulation of postsynapse organization",2,1,2,0.0369879883735802,0.0976013316435232,2.01428850381658,0.00579042804430022,0.0177326724571634,2.01428850381658,0.878266417121511,1.858678229108,2.20880134720231,0.350123118094313,"1.859;2.209","9.7e-03;9.4e-04","2.8e-02;4.8e-03","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.0407095040690969,2.01428850381658,2.01428850381658,0.0976013316435232,0.0369879883735802,2.01428850381658,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0030964","NADH dehydrogenase complex",1,1,1,0.00509809584059066,0.0297692382120205,2.01369564459477,0.00509809584059066,0.0297692382120205,2.01369564459477,1,2.01369564459477,2.01369564459477,0,"2.014","5.1e-03","3e-02","25pct","376_Astro","0.1","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",0.00901856135543085,2.01369564459477,2.01369564459477,0.0297692382120205,0.00509809584059066,2.01369564459477,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0045271","respiratory chain complex I",1,1,1,0.00509809584059066,0.0297692382120205,2.01369564459477,0.00509809584059066,0.0297692382120205,2.01369564459477,1,2.01369564459477,2.01369564459477,0,"2.014","5.1e-03","3e-02","25pct","376_Astro","0.1","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",0.00901856135543085,2.01369564459477,2.01369564459477,0.0297692382120205,0.00509809584059066,2.01369564459477,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0000165","MAPK cascade",1,1,1,0.00412506681490313,0.0156922644814356,2.01272686584081,0.00412506681490313,0.0156922644814356,2.01272686584081,1,2.01272686584081,2.01272686584081,0,"2.013","4.1e-03","1.6e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.00795311935085744,2.01272686584081,2.01272686584081,0.0156922644814356,0.00412506681490313,2.01272686584081,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0016773","phosphotransferase activity, alcohol group as acceptor",1,1,1,0.00857035836059788,0.0309582332617515,2.01193790221382,0.00857035836059788,0.0309582332617515,2.01193790221382,1,2.01193790221382,2.01193790221382,0,"2.012","8.6e-03","3.1e-02","10pct","376_Astro","0.4","GO_MF","376_Astro",TRUE,"v7_weighted_standalone",0.0129626670204043,2.01193790221382,2.01193790221382,0.0309582332617515,0.00857035836059788,2.01193790221382,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0006813","potassium ion transport",1,1,1,0.00375579547125053,0.0147959629419016,2.01154204141073,0.00375579547125053,0.0147959629419016,2.01154204141073,1,2.01154204141073,2.01154204141073,0,"2.012","3.8e-03","1.5e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.00754902411995538,2.01154204141073,2.01154204141073,0.0147959629419016,0.00375579547125053,2.01154204141073,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0061387","regulation of extent of cell growth",1,1,1,0.0028681363883402,0.0118471156040769,2.00887009206542,0.0028681363883402,0.0118471156040769,2.00887009206542,1,2.00887009206542,2.00887009206542,0,"2.009","2.9e-03","1.2e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.00625075987238983,2.00887009206542,2.00887009206542,0.0118471156040769,0.0028681363883402,2.00887009206542,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0009967","positive regulation of signal transduction",2,1,2,0.0391778175350845,0.103271749756529,2.00806011713096,0.00807858746649318,0.0234723080458571,2.00806011713096,0.836416820414934,1.79890634511051,2.26950233215651,0.470595987046004,"1.799;2.27","1.4e-02;7.1e-04","3.9e-02;3.8e-03","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.0425540028881977,2.00806011713096,2.00806011713096,0.103271749756529,0.0391778175350845,2.00806011713096,2,"376_Astro","parity","Over-represented","Method-Specific"
"mmu05163","Human cytomegalovirus infection",1,1,1,0.00587477854495117,0.012630773871645,2.00431117173765,0.00587477854495117,0.012630773871645,2.00431117173765,1,2.00431117173765,2.00431117173765,0,"2.004","5.9e-03","1.3e-02","10pct","376_Astro","0.4","KEGG","376_Astro",TRUE,"v7_weighted_standalone",0.00990039281252217,2.00431117173765,2.00431117173765,0.012630773871645,0.00587477854495117,2.00431117173765,1,"376_Astro","parity","Over-represented","Method-Specific"
