"ID","Description","n_studies","n_cell_types","n_percentages","weighted_meta_pvalue","weighted_meta_padj","weighted_mean_NES","weighted_mean_pvalue","weighted_mean_padj","weighted_enhanced_score","effect_consistency","min_NES","max_NES","nes_range","individual_NES","individual_pvalue","individual_padj","individual_percentages","individual_cell_types","individual_weights","database","meta_group","weighted_analysis","analysis_version","weighted_meta_padj_corrected","log2_fold_enrichment","mean_nes","meta_fdr","meta_pvalue","meta_score","n_methods","cell_type","effect","regulation_pattern_set_membership","confidence_tier"
"GO:0099503","secretory vesicle",6,2,3,6.09937913527980e-11,4.07550245691753e-09,3.46629283971214,1.61239033129805e-06,2.84753253280178e-05,3.46629283971214,0.85248624742751,2.76367463606955,3.93274391244515,1.16906927637559,"3.255;3.87;2.764;3.242;3.933;2.869","2.0e-07;3.7e-11;1.3e-05;1.3e-07;5.3e-11;1.7e-05","1.7e-06;5.6e-10;2.4e-04;1.2e-06;8.0e-10;3.1e-04","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",1.49800751562472e-09,3.46629283971214,3.46629283971214,4.07550245691753e-09,6.09937913527980e-11,3.46629283971214,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0098978","glutamatergic synapse",6,2,3,5.98833612962795e-11,4.00836245918796e-09,3.46455303659925,6.66215109445229e-07,1.50579606825908e-05,3.46455303659925,0.875617924792648,2.77480331817389,3.75403670606737,0.979233387893486,"3.365;3.717;2.775;3.387;3.754;2.873","4.2e-08;1.4e-10;8.4e-06;3.5e-08;8.1e-10;4.5e-06","4.1e-07;1.9e-09;1.7e-04;3.5e-07;8.0e-09;1.2e-04","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",1.49800751562472e-09,3.46455303659925,3.46455303659925,4.00836245918796e-09,5.98833612962795e-11,3.46455303659925,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0006811","monoatomic ion transport",6,2,3,1.76273315923537e-11,5.84731843317276e-08,3.44616307883913,1.28206564105456e-05,0.000809352172261739,3.44616307883913,0.804631082909856,2.38410237690321,3.78323935341491,1.3991369765117,"3.42;3.783;2.426;3.428;3.686;2.384","9.8e-09;2.0e-10;1.1e-04;5.6e-09;2.2e-10;1.5e-04","9.5e-07;3.2e-08;7.6e-03;6.4e-07;3.0e-08;8.6e-03","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_BP","CA3_do_combined",TRUE,"v7_weighted_standalone",4.91962799895689e-10,3.44616307883913,3.44616307883913,5.84731843317276e-08,1.76273315923537e-11,3.44616307883913,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0098590","plasma membrane region",6,2,3,1.8226348839664e-10,1.0031760230739e-08,3.44113440627842,3.42533071208564e-07,1.00044481444886e-05,3.44113440627842,0.886748857230629,2.87153843496475,3.754138776743,0.882600341778257,"3.298;3.74;2.872;3.308;3.754;2.945","1.1e-07;8.7e-10;2.0e-06;7.7e-08;5.0e-10;3.8e-06","9.9e-07;7.2e-09;6.7e-05;7.1e-07;5.4e-09;1.2e-04","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",4.30422237982835e-09,3.44113440627842,3.44113440627842,1.0031760230739e-08,1.8226348839664e-10,3.44113440627842,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0150034","distal axon",6,2,3,1.94216910710009e-10,1.14018086391466e-08,3.42143172904029,2.74713193849672e-07,2.67787483916195e-06,3.42143172904029,0.908715497892174,3.14394275509739,3.82987708734272,0.685934332245335,"3.156;3.769;3.231;3.144;3.83;3.305","6.0e-07;1.4e-10;2.8e-07;4.1e-07;2.1e-10;1.4e-07","4.3e-06;1.9e-09;1.1e-05;2.9e-06;2.7e-09;6.4e-06","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",4.4166364139239e-09,3.42143172904029,3.42143172904029,1.14018086391466e-08,1.94216910710009e-10,3.42143172904029,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0051641","cellular localization",4,2,2,1.25503527380065e-11,1.61439883230286e-08,3.41652849045658,6.4172805427502e-09,5.62511560299221e-07,3.41652849045658,0.99691900531617,3.4019846424968,3.42442697862783,0.0224423361310246,"3.402;3.417;3.424;3.424","7.5e-09;5.7e-09;5.3e-09;7.2e-09","8.4e-07;3.0e-07;6.4e-07;3.8e-07","5pct;10pct;5pct;10pct","356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.5;0.4","GO_BP","CA3_do_combined",TRUE,"v7_weighted_standalone",3.93147615107794e-10,3.41652849045658,3.41652849045658,1.61439883230286e-08,1.25503527380065e-11,3.41652849045658,4,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0071944","cell periphery",4,2,2,2.1258214523479e-11,8.26324846508315e-10,3.41050635499507,6.66572223052447e-08,5.512625045652e-07,3.41050635499507,0.933288688537479,3.18238556153847,3.63749915424062,0.455113592702148,"3.182;3.637;3.293;3.615","7.8e-08;3.9e-10;1.6e-07;3.3e-10","7.2e-07;3.8e-09;1.3e-06;3.8e-09","5pct;10pct;5pct;10pct","356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.5;0.4","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",5.67501900757223e-10,3.41050635499507,3.41050635499507,8.26324846508315e-10,2.1258214523479e-11,3.41050635499507,4,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0030133","transport vesicle",6,2,3,4.74574210296526e-10,2.25991738381329e-08,3.35872241077552,8.08122726810879e-07,1.76792612508201e-05,3.35872241077552,0.883176570977168,2.85817130082576,3.76379496136459,0.905623660538837,"3.172;3.681;2.858;3.15;3.764;2.925","2.7e-07;3.4e-10;6.8e-06;3.6e-07;6.7e-10;6.2e-06","2.1e-06;3.6e-09;1.7e-04;2.7e-06;6.9e-09;1.6e-04","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",9.39963113296989e-09,3.35872241077552,3.35872241077552,2.25991738381329e-08,4.74574210296526e-10,3.35872241077552,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0043025","neuronal cell body",6,2,3,4.36509748713135e-10,1.99606828409365e-08,3.34923895034651,1.56992476323081e-07,1.84202409119121e-06,3.34923895034651,0.937794410870197,3.12817973900873,3.60848346987943,0.480303730870699,"3.182;3.553;3.128;3.214;3.608;3.228","4.1e-07;1.4e-09;1.9e-07;1.5e-07;1.5e-09;1.3e-07","3.1e-06;1.1e-08;9.0e-06;1.2e-06;1.2e-08;6.4e-06","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_CC","CA3_do_combined",TRUE,"v7_weighted_standalone",8.93389952366217e-09,3.34923895034651,3.34923895034651,1.99606828409365e-08,4.36509748713135e-10,3.34923895034651,6,"CA3_do_combined","parity","Over-represented","Moderate"
"GO:0007267","cell-cell signaling",6,2,3,6.00870301916688e-10,7.34159550836376e-07,3.33937159704963,2.2072588133286e-05,0.0010611941245095,3.33937159704963,0.825139914902436,2.40109821034477,3.53841760874311,1.13731939839834,"3.377;3.538;2.418;3.366;3.524;2.401","3.7e-08;3.9e-09;2.4e-04;4.1e-08;3.6e-09;2.0e-04","3.2e-06;2.2e-07;1.1e-02;3.5e-06;2.2e-07;9.9e-03","5pct;10pct;25pct;5pct;10pct;25pct","356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do","0.5;0.4;0.1;0.5;0.4;0.1","GO_BP","CA3_do_combined",TRUE,"v7_weighted_standalone",1.15291989180264e-08,3.33937159704963,3.33937159704963,7.34159550836376e-07,6.00870301916688e-10,3.33937159704963,6,"CA3_do_combined","parity","Over-represented","Moderate"
