ID,Description,n_studies,n_cell_types,n_percentages,weighted_meta_pvalue,weighted_meta_padj,weighted_mean_NES,weighted_mean_pvalue,weighted_mean_padj,weighted_enhanced_score,effect_consistency,min_NES,max_NES,nes_range,individual_NES,individual_pvalue,individual_padj,individual_percentages,individual_cell_types,individual_weights,database,meta_group,weighted_analysis,analysis_version,weighted_meta_padj_corrected
GO:0032412,regulation of monoatomic ion transmembrane transporter activity,1,1,1,6.069711007922028e-5,4.904503712240646e-4,2.532161964664276,6.069711007922029e-5,4.904503712240646e-4,2.532161964664276,1,2.532161964664276,2.532161964664276,0,2.532,6.1e-05,4.9e-04,10pct,376_Astro,0.4,GO_BP,376_Astro,TRUE,v7_weighted_standalone,5.400257587930627e-4
GO:0032409,regulation of transporter activity,1,1,1,6.391116407551052e-5,5.126786857361605e-4,2.5371814803113555,6.391116407551052e-5,5.126786857361605e-4,2.5371814803113555,1,2.5371814803113555,2.5371814803113555,0,2.537,6.4e-05,5.1e-04,10pct,376_Astro,0.4,GO_BP,376_Astro,TRUE,v7_weighted_standalone,5.60380496604114e-4
GO:0016070,RNA metabolic process,1,1,1,6.141956938487329e-5,5.873786987651967e-4,-2.5506636944816172,6.141956938487329e-5,5.873786987651967e-4,2.5506636944816172,1,-2.5506636944816172,-2.5506636944816172,0,-2.551,6.1e-05,5.9e-04,5pct,78_Sst_HPF,0.5,GO_BP,78_Sst_HPF,TRUE,v7_weighted_standalone,5.670336499605209e-4
GO:0019318,hexose metabolic process,1,1,1,6.247783121434789e-5,5.123182159576526e-4,2.5747891698157175,6.247783121434789e-5,5.123182159576526e-4,2.5747891698157175,1,2.5747891698157175,2.5747891698157175,0,2.575,6.2e-05,5.1e-04,10pct,78_Sst_HPF,0.4,GO_BP,78_Sst_HPF,TRUE,v7_weighted_standalone,5.670336499605209e-4
GO:0051649,establishment of localization in cell,2,1,2,6.235818487164668e-5,8.808007303155357e-4,3.001672317486727,1.9334177367427432e-6,3.652271171848973e-5,3.001672317486727,0.9718525482389693,2.9354376307973933,3.054660066838194,0.11922243604080052,3.055;2.935,4.8e-07;3.7e-06,1.7e-05;6.1e-05,5pct;10pct,78_Sst_HPF;78_Sst_HPF,0.5;0.4,GO_BP,78_Sst_HPF,TRUE,v7_weighted_standalone,5.670336499605209e-4
GO:0016043,cellular component organization,1,1,1,6.34432582471681e-5,5.98305171525377e-4,2.589548792881754,6.34432582471681e-5,5.98305171525377e-4,2.589548792881754,1,2.589548792881754,2.589548792881754,0,2.59,6.3e-05,6e-04,5pct,78_Sst_HPF,0.5,GO_BP,78_Sst_HPF,TRUE,v7_weighted_standalone,5.672016670157268e-4
GO:0120111,neuron projection cytoplasm,1,1,1,6.62390382427377e-5,2.4164982470035792e-4,2.447087294247088,6.62390382427377e-5,2.4164982470035795e-4,2.447087294247088,1,2.447087294247088,2.447087294247088,0,2.447,6.6e-05,2.4e-04,10pct,376_Astro,0.4,GO_CC,376_Astro,TRUE,v7_weighted_standalone,5.72494544812233e-4
GO:0016043,cellular component organization,1,1,1,6.752296976863196e-5,6.532146405187993e-4,2.587666840883793,6.752296976863196e-5,6.532146405187993e-4,2.587666840883793,1,2.587666840883793,2.587666840883793,0,2.588,6.8e-05,6.5e-04,5pct,376_Astro,0.5,GO_BP,376_Astro,TRUE,v7_weighted_standalone,5.753717846482019e-4
GO:0019364,pyridine nucleotide catabolic process,6,2,3,1.852811907619615e-4,0.004816280506328298,2.47694905019134,8.94438753625574e-4,0.005231535448814662,2.47694905019134,0.8629741747828934,2.1562470733300843,2.9117949602917905,0.7555478869617063,2.156;2.912;2.396;2.162;2.885;2.365,2.0e-03;1.4e-06;5.7e-04;1.5e-03;1.3e-06;2.4e-04,7.9e-03;2.6e-05;2.1e-02;6.5e-03;2.7e-05;1.1e-02,5pct;10pct;25pct;5pct;10pct;25pct,356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.1;0.5;0.4;0.1,GO_BP,CA3_do_combined,TRUE,v7_weighted_standalone,5.764415317887692e-4
GO:0072526,pyridine-containing compound catabolic process,6,2,3,1.8588831155403305e-4,0.004842926527892195,2.4726182053912815,8.926266475941355e-4,0.005237879548148588,2.4726182053912815,0.8598480656134475,2.1562470733300843,2.9117949602917905,0.7555478869617063,2.156;2.912;2.353;2.162;2.885;2.321,2.0e-03;1.4e-06;3.1e-04;1.5e-03;1.3e-06;4.7e-04,7.9e-03;2.6e-05;1.3e-02;6.5e-03;2.7e-05;1.9e-02,5pct;10pct;25pct;5pct;10pct;25pct,356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.1;0.5;0.4;0.1,GO_BP,CA3_do_combined,TRUE,v7_weighted_standalone,5.764415317887692e-4
