"ensembl_id","gene_name","loading","abs_loading","original_pval","reduced_pval","log_pval_degradation","original_coef","reduced_coef","coef_degradation","original_r2","reduced_r2","r2_loss","contribution_score","PC","model","test_term","external_gene_name","final_rank"
"ENSRNOG00000001704","Gene_706",0.0134370312683985,0.0134370312683985,0.047508095512377,0.051722319423148,0.0369103711159147,11.6054309272212,11.3435121802083,0.261918747012917,0.0660150458719886,0.0636966177287102,0.00231842814327836,0.268753185443751,5,"Parity_Binary","parity_binaryParous","Runx1",11
"ENSRNOG00000016034","Gene_6421",-0.0061906485901775,0.0061906485901775,0.047508095512377,0.0516536297863109,0.0363332245966178,11.6054309272212,11.3755440182007,0.229886909020481,0.0660150458719886,0.063732827805537,0.00228221806645161,0.264555031241779,5,"Parity_Binary","parity_binaryParous","Cnot9",12
"ENSRNOG00000015416","Gene_6200",0.00855886209195638,0.00855886209195638,0.047508095512377,0.0514966394640453,0.0350112681187378,11.6054309272212,11.3719704637249,0.233460463496234,0.0660150458719886,0.0638157723269959,0.00219927354499275,0.254938622618012,5,"Parity_Binary","parity_binaryParous","Nabp1",13
"ENSRNOG00000000566","Gene_204",0.0093950089855875,0.0093950089855875,0.047508095512377,0.0514453745750136,0.0345787127530752,11.6054309272212,11.3576876578035,0.247743269417633,0.0660150458719886,0.063842914043222,0.00217213182876659,0.251791895629734,5,"Parity_Binary","parity_binaryParous",NA,14
"ENSRNOG00000020636","Gene_8475",0.0168291648049392,0.0168291648049392,0.047508095512377,0.0512786630831055,0.0331690729799343,11.6054309272212,11.2626248117126,0.342806115508584,0.0660150458719886,0.063931370587188,0.00208367528480065,0.241536601459999,5,"Parity_Binary","parity_binaryParous","Spint2",15
"ENSRNOG00000018830","Gene_7662",-0.0111341467076317,0.0111341467076317,0.047508095512377,0.051157504389834,0.0321417292641849,11.6054309272212,11.3631152223968,0.242315704824341,0.0660150458719886,0.0639958427404482,0.00201920313154039,0.234062042418224,5,"Parity_Binary","parity_binaryParous","Aff3",16
"ENSRNOG00000033792","Gene_10763",0.00459616476342204,0.00459616476342204,0.047508095512377,0.051114442483877,0.0317760072883315,11.6054309272212,11.4060652491299,0.199365678091279,0.0660150458719886,0.0640187950914333,0.00199625078055532,0.231401085343863,5,"Parity_Binary","parity_binaryParous","RGD1561413",17
"ENSRNOG00000015084","Gene_6077",-0.00217114033044831,0.00217114033044831,0.047508095512377,0.0509586201475367,0.0304500387780431,11.6054309272212,11.4272721098085,0.178158817412648,0.0660150458719886,0.0641020161433741,0.00191302972861446,0.221753011639489,5,"Parity_Binary","parity_binaryParous","Necab2",18
"ENSRNOG00000020642","Gene_8477",0.00324377354186222,0.00324377354186222,0.047508095512377,0.0509539791557612,0.0304104841570475,11.6054309272212,11.4193821915621,0.186048735659096,0.0660150458719886,0.0641044987988343,0.00191054707315426,0.221465191472473,5,"Parity_Binary","parity_binaryParous","Flad1",19
"ENSRNOG00000006591","Gene_2578",0.0060992273045499,0.0060992273045499,0.047508095512377,0.050588328841477,0.0272827120328808,11.6054309272212,11.4218690549746,0.183561872246624,0.0660150458719886,0.0643008342567909,0.00171421161519772,0.198703873552653,5,"Parity_Binary","parity_binaryParous",NA,20
"ENSRNOG00000004606","Gene_1864",-0.0117443205206126,0.0117443205206126,0.047508095512377,0.0504101931979333,0.0257507409568724,11.6054309272212,11.4122175639645,0.19321336325666,0.0660150458719886,0.0643970130267529,0.00161803284523568,0.18755402548044,5,"Parity_Binary","parity_binaryParous","Meis1",21
"ENSRNOG00000015502","Gene_6236",0.00503692505711159,0.00503692505711159,0.047508095512377,0.0502583335545649,0.0244404634094967,11.6054309272212,11.451821498146,0.153609429075145,0.0660150458719886,0.0644792811076297,0.00153576476435893,0.17801693984539,5,"Parity_Binary","parity_binaryParous","Slc35a3",22
"ENSRNOG00000005424","Gene_2201",-0.00866274484997857,0.00866274484997857,0.047508095512377,0.05021395090525,0.0240567727022125,11.6054309272212,11.4085622782452,0.196868648975988,0.0660150458719886,0.0645033731024282,0.00151167276956038,0.17522404965825,5,"Parity_Binary","parity_binaryParous","Odc1",23
"ENSRNOG00000025040","Gene_9492",-0.00732715799306443,0.00732715799306443,0.047508095512377,0.0501722285595573,0.0236957711052526,11.6054309272212,11.4462194098711,0.159211517350125,0.0660150458719886,0.064526040980786,0.0014890048912026,0.172596260225513,5,"Parity_Binary","parity_binaryParous",NA,24
"ENSRNOG00000027799","Gene_9974",0.00326468334407003,0.00326468334407003,0.047508095512377,0.0501150691885682,0.0232007133530737,11.6054309272212,11.4649693764245,0.140461550796724,0.0660150458719886,0.0645571273075182,0.00145791856447043,0.168992569800117,5,"Parity_Binary","parity_binaryParous","Tmie",25
"ENSRNOG00000006148","Gene_2452",-0.00875631331936411,0.00875631331936411,0.047508095512377,0.0501118588591337,0.0231728919205281,11.6054309272212,11.435793803082,0.169637124139218,0.0660150458719886,0.0645588743369667,0.00145617153502192,0.16879004542272,5,"Parity_Binary","parity_binaryParous","C10h5orf15",26
"ENSRNOG00000054344","Gene_12468",0.00445166799997026,0.00445166799997026,0.047508095512377,0.0500053933805805,0.0222492271925527,11.6054309272212,11.4646325495333,0.140798377687831,0.0660150458719886,0.0646168770317379,0.00139816884025071,0.162066111217623,5,"Parity_Binary","parity_binaryParous",NA,27
"ENSRNOG00000010209","Gene_4062",-0.0126060890152606,0.0126060890152606,0.047508095512377,0.0499772986612581,0.0220051573111701,11.6054309272212,11.4331823600869,0.172248567134318,0.0660150458719886,0.0646322042741922,0.00138284159779641,0.160289317090811,5,"Parity_Binary","parity_binaryParous","Nol12",28
"ENSRNOG00000012090","Gene_4857",-0.013049744133855,0.013049744133855,0.047508095512377,0.0499336105742787,0.0216253490108645,11.6054309272212,11.402879074682,0.202551852539191,0.0660150458719886,0.0646560561663482,0.00135898970564036,0.1575243195749,5,"Parity_Binary","parity_binaryParous","Slc16a8",29
"ENSRNOG00000002353","Gene_968",0.0106073671870924,0.0106073671870924,0.047508095512377,0.0498974556682586,0.0213107800604223,11.6054309272212,11.4425757775382,0.162855149682962,0.0660150458719886,0.0646758114715606,0.00133923440042803,0.155234220103226,5,"Parity_Binary","parity_binaryParous","Rab3gap2",30
"ENSRNOG00000006019","Gene_2409",-0.0071567884838265,0.0071567884838265,0.047508095512377,0.0496716859995432,0.0193412805206762,11.6054309272212,11.4798103796884,0.125620547532796,0.0660150458719886,0.0647995072714295,0.00121553860055906,0.140895140576583,5,"Parity_Binary","parity_binaryParous","G0s2",31
"ENSRNOG00000059466","Gene_12987",-0.0126790563732223,0.0126790563732223,0.047508095512377,0.0496659396024536,0.0192910351371266,11.6054309272212,11.418312025899,0.18711890132214,0.0660150458719886,0.0648026631678369,0.00121238270415175,0.140529305552302,5,"Parity_Binary","parity_binaryParous",NA,32
"ENSRNOG00000010204","Gene_4059",-0.0164743421603178,0.0164743421603178,0.047508095512377,0.049630469145658,0.0189807595792014,11.6054309272212,11.4656638509341,0.139767076287081,0.0660150458719886,0.0648221516957725,0.00119289417621612,0.138270177200814,5,"Parity_Binary","parity_binaryParous","Tmem9",33
"ENSRNOG00000027888","Gene_9987",-0.0257132716010489,0.0257132716010489,0.047508095512377,0.0495488623768303,0.018266066772906,11.6054309272212,11.4217674831076,0.183663444113597,0.0660150458719886,0.0648670432652896,0.00114800260669902,0.133066327442808,5,"Parity_Binary","parity_binaryParous","Cmss1",34
"ENSRNOG00000043377","Gene_11379",0.00534886625431435,0.00534886625431435,0.047508095512377,0.0495377585546115,0.0181687311549889,11.6054309272212,11.4785592978236,0.126871629397575,0.0660150458719886,0.0648731573038709,0.00114188856811769,0.132357587966757,5,"Parity_Binary","parity_binaryParous","Fdps",35
"ENSRNOG00000006958","Gene_2708",-0.011401294304949,0.011401294304949,0.047508095512377,0.0495174045058587,0.0179902517923985,11.6054309272212,11.4722400557834,0.133190871437797,0.0660150458719886,0.0648843684012622,0.00113067747072641,0.13105799886504,5,"Parity_Binary","parity_binaryParous","Zfp12",36
"ENSRNOG00000009431","Gene_3729",0.00389872899298459,0.00389872899298459,0.047508095512377,0.0494645567321584,0.017526500652439,11.6054309272212,11.4912745272343,0.114156399986856,0.0660150458719886,0.0649134992942615,0.00110154657772711,0.12768115842515,5,"Parity_Binary","parity_binaryParous","Tbc1d4",37
"ENSRNOG00000056836","Gene_12731",0.018901374749503,0.018901374749503,0.047508095512377,0.0494058314260898,0.0170105912917502,11.6054309272212,11.3597137728367,0.24571715438451,0.0660150458719886,0.064945907534796,0.00106913833719259,0.123924425011009,5,"Parity_Binary","parity_binaryParous","Cav1",38
"ENSRNOG00000017346","Gene_7002",0.00320104545099944,0.00320104545099944,0.047508095512377,0.0493726747946231,0.0167190350984803,11.6054309272212,11.5023674699025,0.103063457318662,0.0660150458719886,0.0649642228844248,0.00105082298756382,0.121801333854862,5,"Parity_Binary","parity_binaryParous","Myt1",39
