"gene_id","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","significant_fdr20","large_effect","weighted_score"
"ENSRNOG00000005041","Crip2",47.7158018881019,0.0300833915972919,0.0612744695742426,0.490961273207623,0.623453838409878,0.999995822429765,FALSE,FALSE,FALSE,0.0150426029483912
"ENSRNOG00000008219","Ccdc33",1.14920838028308,0.193493680200261,0.394211067016099,0.49083776786094,0.623541195301084,0.999995822429765,FALSE,FALSE,FALSE,0.096747747249876
"ENSRNOG00000003338","Pmp22",25.7305972112925,-0.0438644548717218,0.0893801211213245,-0.490762983104266,0.623594094078075,0.999995822429765,FALSE,FALSE,FALSE,0.0219331345856062
"ENSRNOG00000013969","Ahi1",66.7488616830755,-0.0431396786509015,0.0879195007233787,-0.490672470793846,0.623658120290684,0.999995822429765,FALSE,FALSE,FALSE,0.021570746475196
"ENSRNOG00000003041","Smg6",21.680459556733,-0.0445264142869688,0.0907463704088722,-0.490668817786848,0.623660704398915,0.999995822429765,FALSE,FALSE,FALSE,0.0222641142932297
"ENSRNOG00000016847","Bace1",46.3401451768634,0.0299954869509095,0.0611636527150275,0.490413597282422,0.623841256828081,0.999995822429765,FALSE,FALSE,FALSE,0.0149986506252
"ENSRNOG00000051813",NA,9.15528422370603,-0.0661925337324041,0.135017168487343,-0.490252717295055,0.623955080898099,0.999995822429765,FALSE,FALSE,FALSE,0.0330971740159473
"ENSRNOG00000009545","Polr1a",21.2437452598191,-0.043506966427529,0.0887876173439296,-0.490011644968459,0.624125658590502,0.999995822429765,FALSE,FALSE,FALSE,0.0217543903635098
"ENSRNOG00000002240","Slc49a4",42.4357624065675,-0.0308469603632103,0.062961139238187,-0.489936502681659,0.624178831807208,0.999995822429765,FALSE,FALSE,FALSE,0.0154243873313504
"ENSRNOG00000007957","Tspoap1",102.620951512441,0.0208247515183869,0.042505011228864,0.489936384353789,0.624178915541543,0.999995822429765,FALSE,FALSE,FALSE,0.0104132829089387
"ENSRNOG00000007490","Gabrr2",1.53151068158241,-0.16089515037486,0.328466795109551,-0.489836880836609,0.624249330603091,0.999995822429765,FALSE,FALSE,FALSE,0.0804484823371753
"ENSRNOG00000004332","Egfr",6.20837575460359,-0.0805494959381939,0.164455938095101,-0.489793782281149,0.624279830966493,0.999995822429765,FALSE,FALSE,FALSE,0.0402756551188422
"ENSRNOG00000022144","LOC100361993",3.92818956893628,0.102460044271359,0.209210606353925,0.489745936198023,0.624313691856015,0.999995822429765,FALSE,FALSE,FALSE,0.0512309292854248
